Vip,FC,log2FC,ConcordGroup,logp,p,type,A,comp,log2Dry,log2Wet
0.464330997,1.016596981,0.023747851,3,0.101102588,0.932320188,insig,no,COG2936,13.13376181,13.11001396
0.425615513,1.016501755,0.023612706,3,0.097624149,0.934570789,insig,no,COG4147,12.37388125,12.35026855
0.56852121,1.016493764,0.023601364,3,0.069375253,0.953050619,insig,no,COG3040,12.66083408,12.63723271
0.275273935,1.016116586,0.023065942,3,0.382950397,0.766867696,insig,no,COG0055,11.08103353,11.05796758
0.515870375,1.015676157,0.02244048,3,0.100328858,0.932820334,insig,no,COG0688,12.44591956,12.42347908
0.623701794,1.015495623,0.022184022,3,0.163398025,0.892919471,insig,no,COG0726,10.78492506,10.76274103
0.172693104,1.015305716,0.021914199,3,0.161325386,0.8942032,insig,no,COG1137,12.096573,12.0746588
0.195545474,1.015242706,0.021824662,3,0.14103321,0.906869453,insig,no,COG1524,11.60930509,11.58748042
0.664525927,1.015173403,0.021726177,3,0.285780786,0.820297544,insig,no,COG2812,11.18380994,11.16208376
0.651431903,1.014579187,0.020881471,3,0.289075326,0.818426449,insig,no,COG0143,11.21573559,11.19485412
0.294317909,1.014413223,0.020645456,3,0.278258053,0.824586043,insig,no,COG0706,11.33763521,11.31698975
0.389791264,1.014368722,0.020582165,3,0.193804929,0.874296829,insig,no,COG0636,11.82944903,11.80886686
0.65211115,1.013699217,0.019629642,3,0.107040509,0.928490781,insig,no,COG2873,12.09398478,12.07435514
0.43835562,1.013232753,0.018965618,3,0.285882664,0.82023962,insig,no,COG0212,12.06692925,12.04796364
0.48834181,1.012297561,0.017633426,3,0.056697675,0.961462388,insig,no,COG2030,10.74009277,10.72245935
0.34103791,1.012257422,0.017576221,3,0.333150591,0.793801068,insig,no,COG0605,11.39727814,11.37970192
0.26144904,1.012141319,0.017410738,3,0.15626824,0.897343192,insig,no,COG1290,11.4278406,11.41042987
0.327488944,1.011862873,0.01701379,3,0.099072726,0.933632879,insig,no,COG0144,11.30138227,11.28436848
0.72127957,1.011435369,0.016404134,3,0.078106406,0.9473002,insig,no,COG0615,12.0372904,12.02088627
0.149440136,1.009967405,0.014308734,3,0.191672086,0.875590322,insig,no,COG0220,11.77295181,11.75864308
0.311060551,1.009865551,0.014163231,3,0.220314523,0.85837828,insig,no,COG0508,9.687797158,9.673633926
0.587582076,1.009727646,0.013966207,3,0.07401427,0.949990986,insig,no,COG2230,11.22753284,11.21356663
0.486674127,1.009483691,0.013617603,3,0.231711814,0.851623807,insig,no,COG0060,10.74249322,10.72887562
0.109797496,1.009391177,0.013485381,3,0.150981229,0.900637698,insig,no,COG0006,10.84467072,10.83118534
0.552886791,1.009123528,0.013102787,3,0.159753309,0.895178127,insig,no,COG1304,11.62680475,11.61370196
0.133627177,1.009120222,0.013098061,3,0.060858939,0.958693171,insig,no,COG1391,11.9149664,11.90186834
0.116464881,1.009079096,0.013039264,3,0.080539518,0.94570392,insig,no,COG1814,12.44151515,12.42847589
0.399522017,1.008937478,0.012836776,3,0.0935902,0.937187619,insig,no,COG4122,10.81060758,10.79777081
